,Ariads,Aridiv,Bouhir,Bousco,Bulten,Crudiv,Cypses,Dalser,Eupmen,Evoser,Floped,Helfol,Helglo,Hetpin,Mickun,Milbif,Muhper,Muhpha,Muhrig,Oxalun,Pheoli,Planiv,Por pil,Rictri,Sanpro,Sedote,Spoten,Stedul,Steeph,Tagmic,Thyaur,Tricor,Tripur,Trispi,Boucho,Boupol,Hilsen,Resto
Ariads,0.00E+000,,,,,0.00E+000,0.00E+000,,,,,,,,0.00E+000,,,,,0.00E+000,,,,0.00E+000,0.00E+000,,,,0.00E+000,0.00E+000,,,,0.00E+000,0.00E+000,,,0.00E+000
Aridiv,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
Bouhir,,,0,,,0,,,,,,,,,,,,,,-7.94886829,,,,,,,,,,,,,,,,,0,0
Bousco,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Bulten,,,,,0,,,,,0,,,0,,0,,0,,,0,,,,0,0,,,,0,0,0,,,,,0,,0
Crudiv,-0.11932589,,0,,,0,,,,,0,,,0,,0.11519462,,,,,,,,,,,,,0.03060603,,,0,,,-0.40490314,,0,0
Cypses,,,,,,,0,0,,,0.13738764,,,,,,0,,,-0.09227819,0,,,,,,0,,,,0,0,0,,0,,,0
Dalhum,0,,,,,,,0,,,,,,,0,,,0,,,,0,,,,,,,,,,,,0,0,,,0
Eupmen,,,,,,0,,0,0,,,,,,,,,,,,,0,,,,,,,-0.23562924,0,,0,,,,,,0
Evoser,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Floped,,,,,,0,,,,,0,,,,0,,,,,,,0,,,,,,,0,,0.06618189,,,,0,0,,0
Helfol,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Helglo,,,,,,,-0.12303229,,,,,,0,,,,,,,-0.0447823,,,,,,,,,,,,,,,,,,0
Hetpin,,,0,,0,,0,-0.02748738,,,0,,0,0,,,0.0790848,,,0,,,,,,,,,0,0,0.11678875,0.25455482,,,-0.99058613,-1.89746739,,0
Mickun,0,,0,,,,0,,,,,,,,0,,,,,0,,0,,,,,0,,,,0,,,0,0,,,0
Milbif,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,0
Muhper,,,,,,,,,,,,,,,,,0,,,0,,,,,,,0,,,,,,,,,,,0
Muhpha,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0
Muhrig,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
Oxalun,,,,,,,,,0,,,,,,-0.15437133,,0,0,,0,,0,,,,,,,,,,0,,,,,0,0
Pheoli,,,,,,,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,0,,0
Planiv,,,,,-0.68654132,0,,,,,0,,,,1.34300488,,,,,,,0,,0,,,,,-0.01608248,,0,,,0,0.15016528,0,,0
Porpil,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
Rictri,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,0.28879134,,0.68259868,0
Sanpro,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,0
Sedote,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
Spoten,,,,,,0,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,0
Stedul,,,,,,,,,,,,,,,,,,-20.46660681,0,,,,,,,,,0,,,,,,,,,,0
Steeph,,,,,0,0,,-1.99451085,0,,,0,,,-0.173900786,-0.090686614,0,0,,0,,0,,0,,,,,0,0,,0,0,0,0,,0,0
Tagmic,,,0,,,,0,-0.10022307,,,,,,,,,,,0.1505119,0,,0,,0,,,,,0.03438339,0,,,,0,0,,,0
Thyaur,,,,,,0,,0,,,,,,,0,,,,,0,0,0,,,,,0,,-0.03395307,0,0,0,,-4.4049364,,0,,0
Tricor,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,0
Tripur,,,,,,,,,,,0.00E+000,,,,,,,,,0.00E+000,,0.00E+000,,,,,,,0.00E+000,,,,0.00E+000,,,,,0.00E+000
Trispi,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,0,,,,,-0.14790891,,0,0,,,0
Boucho,0,0,0,,0,0,0,,,,0,,,,,,,0,0,0,,,,,,,,,0,,,,,,0,0,,0
Boupol,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103913013,0,,0
Hilcen,,,,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,0
,,,,,0,,,,,0,,,0,,0,,0,,,0,,,,0,0,,,,0,0,0,,,,,0,,0
