,Ariads,Aridiv,Bouhir,Bousco,Bulten,Crudiv,Cypses,Dalser,Eupmen,Evoser,Floped,Helfol,Helglo,Hetpin,Mickun,Milbif,Muhper,Muhpha,Muhrig,Oxalun,Pheoli,Planiv,Por pil,Rictri,Sanpro,Sedote,Spoten,Stedul,Steeph,Tagmic,Thyaur,Tricor,Tripur,Trispi,Boucho,Boupol,Hilsen,Resto
Ariads,-1.00E+004,,,,,-1.18E+000,-1.96E+001,,,,,,,,-2.33E+000,,,,,-2.39E+001,,,,-1.88E+000,5.67E-001,,,,-2.47E+000,-2.27E+000,,,,-2.46E+001,-2.14E+001,,,-3.19E+000
Aridiv,,-9999,,,,,,,,,,,,,,,,,0.27225272,,,,,,,,,,,,,,,,,,,-0.44751568
Bouhir,,,-9999,,,-2.2840803,,,,,,,,,,,,,,-1.58039085,,,,,,,,,,,,,,,,,-46.74897049,-2.9781344
Bousco,,4.61839736,,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95253076,-5.25773103
Bulten,,,,,-9999,,,,,-74.08698246,,,0.30641743,,-56.38864361,,-2.01236495,,,-1.11057069,,,,-64.3267627,-74.28444677,,,,73.85305431,-1.20258839,-86.20630001,,,,,-71.51865838,,-52.28279152
Crudiv,-1.9408156,,0.43860648,,,-9999,,,,,-69.85035679,,,-0.04183314,,55.68115872,,,,,,,,,,,,,-1.11935602,,,-0.81301601,,,1.0827294,,-0.92456058,-85.29068765
Cypses,,,,,,,-9999,-2.08951735,,,-1.08370651,,,,,,-0.90219854,,,-1.84728187,-1.28723496,,,,,,-0.42146224,,,,-1.74377588,-1.39329084,1.23021111,,-1.82862735,,,-2.20188462
Dalhum,-1.6835065,,,,,,,-9999,,,,,,,-1.68081603,,,-0.44685612,,,,-0.39269296,,,,,,,,,,,,-1.11746095,-1.74820315,,,-1.38269489
Eupmen,,,,,,-2.89373458,,0.12952784,-9999,,,,,,,,,,,,,-1.06920655,,,,,,,-2.2364428,-2.70234786,,-1.20279063,,,,,,-0.31179851
Evoser,,,,,,,,,,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5988283
Floped,,,,,,-1.80649749,,,,,-9999,,,,-0.94805283,,,,,,,-3.59911595,,,,,,,-2.19904221,,-2.95905659,,,,-34.71726324,-1.87918221,,-3.61606537
Helfol,,,,,,,,,,,,-9999,,,,,,,,,,,,,,,,,,,,,,,,,0.45960493,-0.67938675
Helglo,,,,,,,1.55058731,,,,,,-9999,,,,,,,0.01471923,,,,,,,,,,,,,,,,,,1.68266308
Hetpin,,,-1.79472112,,-0.18914724,,-2.00846865,-22.89851067,,,-2.31595641,,2.07424528,-9999,,,-28.31570173,,,-3.31117843,,,,,,,,,-21.15167064,-1.41010717,-21.02754742,-2.22623649,,,-2.52573803,-14.1655189,,-23.62316444
Mickun,-2.168211298,,-14.34475765,,,,-17.09810631,,,,,,,,-9999,,,,,-16.80669766,,-2.896706505,,,,,-1.828820519,,,,-2.360988047,,,-1.122113534,-15.16388014,,,-14.18828515
Milbif,,,,,,,,,,,,,,,,-9999,,,,,,,,,,,,,,,,,,,-2.45969804,,,-1.6938295
Muhper,,,,,,,,,,,,,,,,,-9999,,,-0.51260927,,,,,,,-1.61881827,,,,,,,,,,,-3.41478792
Muhpha,,,,,,,,,,,,,,,,,,-9999,,,,,,,,,,,,,,,,,,,,-2.56400005
Muhrig,,,,,,,,,,,,,,,,,,,-9999,,,,,,,,,,,,,,,,,,,22.77604166
Oxalun,,,,,,,,,-0.91711018,,,,,,-1.99227828,,-1.56990186,-0.48485753,,-9999,,-1.26454213,,,,,,,,,,0.55438982,,,,,-0.63477678,-1.56644235
Pheoli,,,,,,,-1.413030685,,,,,,,,,,,,,,-9999,0.228931851,-0.661758752,,,,,,,,,,,,,-0.611871468,,-0.007082599
Planiv,,,,,-1.73267882,-1.39703193,,,,,-66.97427508,,,,-2.12499163,,,,,,,-9999,,-1.71038058,,,,,-52.13480255,,-39.53412094,,,-0.7176755,-0.17861693,0.32363888,,-44.33858256
Porpil,,,,,,,,,,,,,,,,,,,,,,,-9999,,,,,,,,,,,,,,,-1.739932253
Rictri,,,,,,,,,,,,,,,,,,,,,,,,-9999,,,,-25.4252054,-19.59321285,,,,,,0.27658211,,0.62233808,-2.80942116
Sanpro,,,,,,-1.761932257,,,,,,,,,,,,,,,,,,,-9999,,,,,,,-27.53138052,,,,37.83040398,,-30.58597488
Sedote,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,,,,,,,,,,,,-0.44388344
Spoten,,,,,,-2.22564143,,,,,,,,,,,,,,,,-1.81690516,0.59861514,,-1.28011925,,-9999,,-1.72478946,,-79.79490381,,,,,,,-101.3283764
Stedul,,,,,,,,,,,,,,,,,,-1.41409941,0.38052747,,,,,,,,,-9999,,,,,,,,,,-0.07531959
Steeph,,,,,-0.568004387,-26.35586916,,-23.77401674,-20.27475904,,,-25.44789215,,,-23.54184915,1.450065526,-27.15669977,-31.5345715,,-0.947401149,,-0.405418165,,-26.17935579,,,,,-9999,-2.405076218,,-24.75533607,-1.094652392,-2.686708009,-4.517506918,,2.087544471,-19.90230669
Tagmic,,,-1.93515811,,,,-14.4226192,1.73072285,,,,,,,,,,,0.56529253,-2.99022915,,0.5554257,,-17.19355472,,,,,0.56281654,-9999,,,,-16.82757578,-13.7279876,,,-1.19837956
Thyaur,,,,,,-19.23050295,,-23.17408155,,,,,,,-0.87228769,,,,,-4.38140036,-18.48093228,-3.20617841,,,,,-1.29014322,,-21.85344446,0.48005233,-9999,-0.16158898,,-5.55223818,,-0.41932248,,-2.74615824
Tricor,,,45.16869139,,,,,,,,,,,,,,,,,,,,,,,,,,1.44568307,,,-9999,,-0.75836373,,,,-26.56908421
Tripur,,,,,,,,,,,-8.17E+001,,,,,,,,,-1.72E+000,,1.26E+002,,,,,,,-4.98E-001,,,,-1.00E+004,,,,,-7.16E-002
Trispi,-0.78628365,,,,,,,-0.44723051,,,,,,,-1.84032136,,,,,,,-2.1315607,,,,,0.64327309,,,,,0.04094431,,-9999,0.81106507,,,-0.74580698
Boucho,-0.946215662,-0.23539531,-0.494151064,,-0.382797129,-0.752238437,-0.037828716,,,,-1.224489134,,,,,,,-0.076154561,-1.001224802,-0.859541184,,,,,,,,,0.102229059,,,-1.072068806,,,-9999,0.289715538,,-1.181654138
Boupol,-0.773553712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172301482,-9999,,-0.113994755
Hilcen,,,,,,,,-0.873826518,,,,-0.446936332,,,,,,,,,,-0.961279264,,,,,,,,,,,,,,,-9999,-0.440876869
